RU;98;1306;TransparentCalls;0.67;238;12;57
US;70;970;E-Voice;0.65;621;49;43
GB;52;1593;TransparentCalls;0.93;832;43;10
FR;23;291;TransparentCalls;0.61;655;78;15
BL;39;1594;E-Voice;0.79;490;16;51
AT;39;587;TransparentCalls;0.61;437;65;14
BG;47;774;E-Voice;0.97;666;51;47
DK;83;1368;JustPhone;0.61;605;90;15
CA;5;1648;JustPhone;0.67;949;47;56
ES;1;941;E-Voice;0.70;85;80;5
CH;14;1559;JustPhone;0.64;453;27;14
TR;16;542;TransparentCalls;0.77;303;35;35
PE;42;1429;JustPhone;0.98;293;10;15
NZ;46;1266;JustPhone;0.70;212;9;43
MC;92;312;E-Voice;0.96;143;28;30
